"id";"kode";"gejala"
"1";"G001";"Demam"
"2";"G002";"Nafsu makan berkurang"
"3";"G003";"Gelisah"
"4";"G004";"Muntah"
"5";"G005";"Badan lemas/lemah"
"6";"G006";"Berat badan menurun"
"7";"G007";"Bolak-balik ke wc"
"8";"G008";"Cengeng"
"9";"G009";"Dehidrasi seperti turgor (kelenturan) kulit berkurang, mata cekung, ubun-ubun cekung, mulut merah & kering"
"10";"G010";"Tinjanya cair mungkin disertai lender/darah"
"11";"G011";"Dispnea (sesak napas)"
"12";"G012";"Ekspirasi (penghembusan napas) berbunyi wheezing (bising mengi) & sianosis (kebiruan kulit) bibir"
"13";"G013";"Pilek"
"14";"G014";"Batuk kering"
"15";"G015";"Pernapasan dangkal dan cepat"
"16";"G016";"Ekspirasi (penghembusan napas) berbunyi wheezing (bising mengi)"
"17";"G017";"Nafas kering & nyeri"
"18";"G018";"Pernapasan menjadi cepat dan sianosis (kebiruan kulit) bibir & lidah"
"19";"G019";"Batuk pilek"
"20";"G020";"Sakit Perut"
"21";"G021";"Sakit tenggorokan"
"22";"G022";"Susah Menelan"
"23";"G023";"Batuk"
"24";"G024";"Kejang"
"25";"G025";"Membuka hidung lebar-lebar pada saat menarik napas & sianosis (kebiruan kulit) hidung & bibir"
"26";"G026";"Diare"
"27";"G027";"Gangguan kesadaran"
"28";"G028";"Anoreksia atau batuk"
"29";"G029";" Kaku di leher"
"30";"G030";"Kolaps"
"31";"G031";"Batuk kuat serta kering"
"32";"G032";"Demam & terkadang berkeringat"
"33";"G033";"Inspirasi (tarikan napas) berbunyi stidor (kasar)"
"34";"G034";"Suara serak"
"35";"G035";"Tenggorokan dengan guratan merah"
"36";"G036";"Kesulitan mengeluarkan napas dari paru-paru"
"37";"G037";"Rasa haus atau lapar udara"
"38";"G038";"Sianosis (kebiruan kulit)"
"39";"G039";"Batuk-batuk selama lebih dari 3 minggu"
"40";"G040";"Demam tidak terlalu tinggi yang berlangsung lama"
"41";"G041";"Influenza"
"42";"G042";"Keringat dingin"
"43";"G043";"Perasaan tidak enak (malaise) & lemah"
